"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Agathis"	"Arecaceae"	"Casuarinaceae"	"Cunoniaceae"	"Dacrydium"	"Elaeocarpaceae"	"Eucalyptus"	"Myrtaceae"	"Phyllocladus"	"Poaceae"	"Podocarpus"	"Rutaceae"	"Urticaceae"
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3075	"AWI"	3075	89958	108845	98931	6.30630630630631	25.2252252252252	21.6216216216216	1.8018018018018	2.7027027027027	2.7027027027027	7.20720720720721	9.90990990990991	0	0.900900900900901	5.40540540540541	3.6036036036036	12.6126126126126
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3100	"AWI"	3100	90643	109678	99729	1.9047619047619	24.7619047619048	22.8571428571429	1.9047619047619	8.57142857142857	0.952380952380952	4.76190476190476	7.61904761904762	0	2.85714285714286	9.52380952380952	1.9047619047619	12.3809523809524
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3175	"AWI"	3175	92561	111970	102070	0.840336134453782	23.5294117647059	22.6890756302521	3.36134453781513	0.840336134453782	5.04201680672269	6.72268907563025	20.1680672268908	0	4.20168067226891	1.68067226890756	0.840336134453782	10.0840336134454
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3200	"AWI"	3200	93371	112606	102810	3.36134453781513	22.6890756302521	15.9663865546218	0.840336134453782	8.40336134453782	2.52100840336134	3.36134453781513	14.2857142857143	0	5.88235294117647	10.0840336134454	0	12.6050420168067
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3225	"AWI"	3225	94082	113351	103602	0.980392156862745	11.7647058823529	30.3921568627451	0.980392156862745	1.96078431372549	4.90196078431373	7.84313725490196	11.7647058823529	0	7.84313725490196	9.80392156862745	0	11.7647058823529
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3250	"AWI"	3250	94596	114235	104365	3.125	21.875	17.96875	5.46875	4.6875	5.46875	4.6875	18.75	0	6.25	3.125	0.78125	7.8125
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3300	"AWI"	3300	96589	115401	105884	3.73831775700935	18.6915887850467	14.9532710280374	0.934579439252336	5.60747663551402	0.934579439252336	9.34579439252336	21.4953271028037	0	2.80373831775701	7.47663551401869	0.934579439252336	13.0841121495327
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3325	"AWI"	3325	97417	116113	106669	5.66037735849057	25.4716981132075	16.0377358490566	0	3.77358490566038	3.77358490566038	7.54716981132075	22.6415094339623	0	1.88679245283019	4.71698113207547	0	8.49056603773585
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3350	"AWI"	3350	97995	116976	107431	3.33333333333333	19.1666666666667	18.3333333333333	3.33333333333333	2.5	5	8.33333333333333	14.1666666666667	0	1.66666666666667	7.5	5	11.6666666666667
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3375	"AWI"	3375	98971	117638	108161	1.75438596491228	26.3157894736842	13.1578947368421	8.7719298245614	9.64912280701754	1.75438596491228	1.75438596491228	16.6666666666667	0	5.26315789473684	9.64912280701754	0.87719298245614	4.3859649122807
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3400	"AWI"	3400	99994	118073	108894	1.86915887850467	17.7570093457944	4.67289719626168	6.54205607476635	21.4953271028037	5.60747663551402	2.80373831775701	12.1495327102804	0.934579439252336	3.73831775700935	14.018691588785	0.934579439252336	7.47663551401869
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3450	"AWI"	3450	101377	119367	110420	4.71698113207547	26.4150943396226	8.49056603773585	3.77358490566038	13.2075471698113	0.943396226415094	10.377358490566	18.8679245283019	0	1.88679245283019	3.77358490566038	0.943396226415094	6.60377358490566
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3475	"AWI"	3475	102160	120034	111139	2.54237288135593	21.1864406779661	19.4915254237288	0	6.77966101694915	3.38983050847458	8.47457627118644	13.5593220338983	0	2.54237288135593	9.32203389830508	0	12.7118644067797
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3500	"AWI"	3500	103274	120717	111854	2.75229357798165	22.0183486238532	19.2660550458716	4.58715596330275	5.5045871559633	6.42201834862385	1.8348623853211	11.9266055045872	0	5.5045871559633	5.5045871559633	1.8348623853211	12.8440366972477
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3575	"AWI"	3575	105375	123017	114094	1.85185185185185	25.9259259259259	27.7777777777778	1.85185185185185	6.48148148148148	3.7037037037037	2.77777777777778	15.7407407407407	0	1.85185185185185	3.7037037037037	1.85185185185185	6.48148148148148
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3600	"AWI"	3600	106181	123761	114813	3.30578512396694	19.0082644628099	27.2727272727273	1.65289256198347	7.43801652892562	1.65289256198347	5.78512396694215	5.78512396694215	0	9.91735537190083	14.8760330578512	0	3.30578512396694
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3625	"AWI"	3625	106882	124608	115514	3.03030303030303	30.3030303030303	7.07070707070707	18.1818181818182	6.06060606060606	6.06060606060606	5.05050505050505	12.1212121212121	0	2.02020202020202	2.02020202020202	1.01010101010101	7.07070707070707
1628	1683	"Lynch's Crater"	-17.3667	145.6881	3650	"AWI"	3650	107515	125719	116240	5.81395348837209	19.7674418604651	12.7906976744186	6.97674418604651	6.97674418604651	2.32558139534884	10.4651162790698	6.97674418604651	0	5.81395348837209	6.97674418604651	0	15.1162790697674
